ID,日付,銘柄コード,銘柄名,方向,信頼度,エントリー時刻,エントリー価格,エグジット時刻,エグジット価格,損益(円),損益(%),エグジット理由,シグナル理由,BE発動,セッション,保有バー数,ロット数,最大含み益(%),最大含み損(%)
59,2026-06-19,9984,ソフトバンクG,short,medium,13:40,7132.0,14:01,7132.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,21,28000,0.603,-0.042
50,2026-06-19,6981,村田製作所,short,medium,13:44,11665.0,13:58,11723.3,-9974,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,14,17100,0.214,-0.600
65,2026-06-19,8316,三井住友FG,short,medium,13:56,6478.0,14:25,6510.4,-9976,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,29,30800,0.093,-0.571
35,2026-06-19,6920,レーザーテック,short,medium,14:04,53970.0,14:16,54239.8,-9984,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,12,3700,0.019,-0.519
36,2026-06-19,6920,レーザーテック,short,medium,14:19,54200.0,14:50,54200.0,0,0.000,BE,大台割れ (54300円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,31,3600,0.517,-0.037
76,2026-06-22,9984,ソフトバンクG,short,medium,11:30,7272.0,15:20,7244.0,7700,0.385,TIME,三尊（ヘッド&ショルダー）(ネックライン:7279.5円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,227,27500,0.591,-0.481
67,2026-06-22,6857,アドバンテスト,short,medium,13:00,32240.0,13:47,32240.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,44,6200,0.744,-0.062
68,2026-06-22,6976,太陽誘電,short,medium,13:01,18585.0,13:14,18306.2,29829,1.500,TP,大台割れ (18600円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,13,10700,1.533,0.000
72,2026-06-22,6981,村田製作所,short,medium,13:01,12555.0,13:28,12366.7,29944,1.500,TP,三尊（ヘッド&ショルダー）(ネックライン:12562.5円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,24,15900,1.633,0.000
75,2026-06-22,6526,ソシオネクスト,short,medium,13:13,2687.0,15:05,2687.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,108,74400,0.949,-0.223
69,2026-06-22,6976,太陽誘電,short,medium,13:14,18300.0,13:36,18025.5,29921,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,19,10900,2.158,-0.410
77,2026-06-22,8035,東京エレクトロン,short,medium,13:19,77240.0,13:50,77626.2,-9655,-0.500,SL,三尊（ヘッド&ショルダー）(ネックライン:77335.0円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,28,2500,0.311,-0.544
73,2026-06-22,6981,村田製作所,short,medium,13:28,12350.0,14:15,12164.8,29825,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,47,16100,1.579,0.000
70,2026-06-22,6976,太陽誘電,short,medium,13:36,17905.0,14:20,17636.4,29812,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,44,11100,1.620,-0.251
74,2026-06-22,6981,村田製作所,short,medium,14:15,12155.0,14:48,12215.8,-9967,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,33,16400,0.165,-0.617
66,2026-06-22,6920,レーザーテック,short,medium,14:18,57030.0,15:09,57315.1,-9980,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,51,3500,0.386,-0.561
71,2026-06-22,6976,太陽誘電,short,medium,14:20,17615.0,14:29,17703.1,-9952,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,9,11300,0.000,-0.766
78,2026-06-23,6920,レーザーテック,short,medium,09:19,56860.0,09:37,56007.1,29852,1.500,TP,大台割れ (56900円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,18,3500,1.741,-0.246
82,2026-06-23,6857,アドバンテスト,short,medium,09:19,32760.0,09:23,32760.0,0,0.000,BE,大台割れ (32800円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,4,6100,0.549,-0.122
96,2026-06-23,6981,村田製作所,short,medium,09:20,11860.0,09:28,11682.1,29887,1.500,TP,大台割れ (11900円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,8,16800,1.602,0.000
106,2026-06-23,8035,東京エレクトロン,short,medium,09:21,77610.0,09:23,77998.0,-9701,-0.500,SL,大台割れ (77700円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,2,2500,0.000,-0.670
100,2026-06-23,6526,ソシオネクスト,short,medium,09:26,2661.5,09:28,2661.5,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,2,75100,0.582,-0.056
104,2026-06-23,7011,三菱重工業,short,medium,09:26,3845.0,10:55,3787.3,29991,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,89,52000,1.534,-0.416
83,2026-06-23,6857,アドバンテスト,short,medium,09:27,32560.0,09:31,32722.8,-9931,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,4,6100,0.215,-0.676
91,2026-06-23,6976,太陽誘電,short,medium,09:27,17180.0,09:30,17265.9,-9964,-0.500,SL,デッドクロス (MA5:17297 < MA25:17323.6, 乖離:0.15%)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,3,11600,0.000,-1.310
97,2026-06-23,6981,村田製作所,short,medium,09:28,11670.0,09:38,11728.3,-9978,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,10,17100,0.428,-0.600
102,2026-06-23,9984,ソフトバンクG,short,medium,09:29,6767.0,10:05,6767.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,36,29500,0.606,-0.414
84,2026-06-23,6857,アドバンテスト,short,medium,09:33,32590.0,09:45,32752.9,-9940,-0.500,SL,大台割れ (32600円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,12,6100,0.491,-0.675
107,2026-06-23,8035,東京エレクトロン,short,medium,09:33,77610.0,09:44,77610.0,0,0.000,BE,大台割れ (77700円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,11,2500,0.618,-0.090
79,2026-06-23,6920,レーザーテック,short,medium,09:37,55870.0,09:44,56149.3,-9777,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,7,3500,0.089,-0.662
80,2026-06-23,6920,レーザーテック,short,medium,09:55,56430.0,10:47,55583.5,29626,1.500,TP,大台割れ (56500円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,52,3500,1.559,-0.301
109,2026-06-23,8316,三井住友FG,short,medium,09:58,6571.0,11:57,6548.0,6992,0.350,EOD,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,119,30400,0.457,-0.304
103,2026-06-23,9984,ソフトバンクG,short,medium,10:10,6735.0,11:58,6680.0,16280,0.817,EOD,三尊（ヘッド&ショルダー）(ネックライン:6743.5円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,108,29600,1.381,-0.045
86,2026-06-23,5803,フジクラ,short,medium,10:15,6849.0,10:20,6883.2,-10000,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,5,29200,0.015,-0.511
85,2026-06-23,6857,アドバンテスト,short,medium,10:20,32770.0,11:26,32770.0,0,0.000,BE,三尊（ヘッド&ショルダー）(ネックライン:32820.0円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,66,6100,1.160,-0.305
87,2026-06-23,5803,フジクラ,short,medium,10:28,6841.0,10:30,6875.2,-9988,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,2,29200,0.000,-0.746
108,2026-06-23,8035,東京エレクトロン,short,medium,10:35,77890.0,11:58,77630.0,6500,0.334,EOD,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,83,2500,0.809,-0.231
92,2026-06-23,6976,太陽誘電,short,medium,10:38,18105.0,10:44,17833.4,29873,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,6,11000,1.933,0.000
98,2026-06-23,6981,村田製作所,short,medium,10:42,11865.0,10:49,11687.0,29900,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,7,16800,1.686,0.000
88,2026-06-23,5803,フジクラ,short,medium,10:44,6799.0,10:47,6697.0,29984,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,3,29400,2.000,0.000
93,2026-06-23,6976,太陽誘電,short,medium,10:44,17755.0,10:53,17488.7,29828,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,9,11200,1.605,-0.197
101,2026-06-23,6526,ソシオネクスト,short,medium,10:46,2716.5,11:08,2675.8,29990,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,22,73600,1.546,0.000
81,2026-06-23,6920,レーザーテック,short,medium,10:47,55550.0,11:58,55180.0,13320,0.666,EOD,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,71,3600,1.098,0.000
89,2026-06-23,5803,フジクラ,short,medium,10:47,6663.0,10:49,6563.1,29983,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,2,30000,1.636,0.000
90,2026-06-23,5803,フジクラ,short,medium,10:49,6554.0,10:51,6586.8,-9995,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,2,30500,0.000,-1.099
99,2026-06-23,6981,村田製作所,short,medium,10:49,11665.0,11:14,11665.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,25,17100,0.814,-0.386
94,2026-06-23,6976,太陽誘電,short,medium,10:53,17470.0,10:57,17557.3,-9958,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,4,11400,0.315,-0.572
105,2026-06-23,7011,三菱重工業,short,medium,10:55,3786.0,11:58,3776.0,5280,0.264,EOD,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,63,52800,0.475,-0.053
95,2026-06-23,6976,太陽誘電,short,medium,10:59,17400.0,11:04,17487.0,-9918,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,5,11400,0.201,-0.575
