date,symbol,entryTime,entryPrice,exitPrice,pnl,win,hour,minute,timeMinutes,volumeRatio,atrRatio,adx,boardScore,boardSignal,buyPressureRatio,largeBuyWall,largeSellWall,regime,slope,vwapDeviation,ma5_above_ma25_5m,ma5_5m,ma25_5m,rsi,bbPosition,roundUnit,barsAboveRound
"2026-06-25","6526","10:07",2598.5,2612,-4050,0,10,7,607,1.147948611686697,0.0032161411803513017,14.980821619415831,2,"sell_pressure",0.35,0,0,"down",-0.0006499713247944944,-0.00787810457020974,0,2613,0,26.92307692307692,0.11309822297987486,100,10
"2026-06-25","6526","11:11",2597.5,2611,-4050,0,11,11,671,0.9597257926306769,0.0012237041110958339,6.199137735628992,2,"sell_pressure",0.34,0,0,"down",-0.0001537574476263694,-0.007537272368673576,0,2605.8,2607.34,29.268292682926827,-0.03970615635595981,100,10
"2026-06-25","6758","15:30",3197,3197,0,0,15,30,930,124.6699111299196,0.0012511729746637473,57.84932445234059,2,"sell_pressure",0.6,0,0,"down",-0.0007451102142191867,-0.007611503010267841,0,3217.4,3226.56,25,-0.4646186357852124,100,10
"2026-06-25","7011","09:22",3688,3663,5000,1,9,22,562,4.388109638399176,0.0033312674310505114,0,2,"sell_pressure",0.43,0,0,"down",-0.0005393743257820928,-0.011615902443899817,0,3718.4,0,26.666666666666657,0.11491262170784053,100,10
"2026-06-25","7203","09:17",2698.5,2712,-4050,0,9,17,557,0.8133359559402046,0.001773472034728288,0,0,"neutral",1.18,0,0,"down",-0.00011104941699056081,-0.0008851670999033239,0,0,0,41.935483870967744,0.5,100,10
"2026-06-25","7203","09:26",2697,2712,-4500,0,9,26,566,1.6721782890007189,0.0015493405371047196,0,0,"neutral",1.14,0,0,"down",-0.0002588757396449704,-0.0013828647550625042,0,2699.1,0,48.21428571428571,0.12515548018681605,100,10
"2026-06-25","7203","09:34",2697.5,2712,-4350,0,9,34,574,1.6761543327008224,0.0014828544949026877,23.26010927356121,0,"neutral",1.17,0,0,"neutral",-0.0000925925925925926,-0.0013264127014670222,0,2699.5,0,42.10526315789473,0.20008510143123007,100,10
"2026-06-25","9984","09:20",6481,6457,2400,1,9,20,560,3.727592328309374,0.006215971961998809,0,2,"sell_pressure",0.34,0,0,"down",-0.0009475775638086504,-0.015094198971133316,0,0,0,31.353135313531354,0.5,100,10
"2026-06-25","9984","10:46",6696,6733,-3700,0,10,46,646,1.0869006629323192,0.003616231438812084,40.787183597061976,2,"sell_pressure",0.57,0,0,"down",-0.000755891507336594,0.01719362758641525,0,6691.8,0,55.62499999999999,0.43989120164583095,100,10
"2026-06-25","9984","11:14",6694,6741,-4700,0,11,14,674,0.8817069344210856,0.0028917153954500833,11.88691696471131,2,"sell_pressure",0.54,0,0,"down",-0.0006677548597714795,0.013296477289685768,1,6730,6628.4,41.72185430463576,0.047222925638082315,100,10
"2026-06-25","9984","14:59",7086,7126,-4000,0,14,59,899,2.4096743081831,0.0021067698883109553,31.86566299156814,0,"neutral",0.98,0,0,"down",-0.0006310475389145982,0.041614305316665975,1,7124.8,7066.4,18.94736842105263,-0.1651904681170346,100,10
"2026-06-25","9984","15:01",7099,7135,-3600,0,15,1,901,1.411174346735206,0.002344394582738011,33.713248989214314,0,"neutral",0.97,0,0,"down",-0.0006298992161254199,0.043309339099539365,1,7127.4,7066.92,36.44067796610169,0.10894655945699834,100,10
"2026-06-26","5016","09:18",4695,4681,1400,1,9,18,558,0.9422454568085636,0.007211319032405294,0,2,"sell_pressure",0.49,0,0,"down",-0.0008028734417916755,-0.012315587544689064,0,0,0,31.42857142857143,0.5,100,10
